Input,Output
I'm feeling so bouncy!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so chipper!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so chirpy!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so full of beans!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so high-spirited!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so in high spirits!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so jolly!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so light-hearted!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so perky!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so sprightly!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so jovial!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so buoyant!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so jaunty!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so exuberant!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so animated!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so sparkling!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so effervescent!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so vivacious!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so zestful!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so enthusiastic!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so eager!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so full of life!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so spirited!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so untroubled!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so carefree!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so unworried!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so contented!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so easygoing!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so laid-back!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so serene!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so tranquil!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so calm!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so peaceful!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so unruffled!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so composed!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so collected!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so cool!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so relaxed!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so chilled!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so mellow!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so blithe!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so easy!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so casual!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so imperturbable!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so unconcerned!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so nonchalant!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so insouciant!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so indifferent!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so apathetic!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so uninterested!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so uninvolved!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so detached!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so disinterested!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so dispassionate!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so impassive!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so unemotional!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so unfeeling!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so cold!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so unresponsive!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so stolid!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so numb!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so phlegmatic!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so cool as a cucumber!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so merry!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so mirthful!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so happy!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so in good spirits!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so bright!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so beaming!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so peppy!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so bubbly!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so feisty!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so dynamic!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so energetic!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so vigorous!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so frisky!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so spry!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so agile!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so nimble!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so quick!,That's great to hear. I'm glad you're feeling this way.
I'm feeling so fleet!,That's great to hear. I'm glad you're feeling this way.
